step,rain_prob,yes_bid,yes_ask,no_bid,no_ask,yes_edge,no_edge,sum_arb,cash,equity,unrealized_pnl,realized_proxy
1,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
2,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
3,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
4,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
5,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
6,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
7,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
8,0.0,0.01,0.99,0.01,0.99,-0.99,0.010000000000000009,False,1000.0,1000.0,0.0,0.0
