step,rain_prob,yes_bid,yes_ask,no_bid,no_ask,yes_edge,no_edge,sum_arb,cash,equity,unrealized_pnl,realized_proxy
29,0.5093473181429711,0.5066852576396111,0.5166852576396112,0.4829835791471653,0.4929835791471653,-0.007337939496640078,-0.002330897290136358,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
30,0.48644372215160014,0.49991746374489543,0.5099174637448954,0.48070800570652406,0.49070800570652406,-0.023473741593295294,0.02284827214187579,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
31,0.49534690339431625,0.48956951173385505,0.49956951173385505,0.502176022163861,0.512176022163861,-0.0042226083395388025,-0.007522925558177351,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
32,0.48867300768848143,0.46643583821740936,0.47643583821740937,0.5320646880846361,0.5420646880846361,0.012237169471072062,-0.03073769577311758,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
33,0.4931945624561672,0.4912202565193727,0.5012202565193726,0.4903811351949992,0.5003811351949992,-0.008025694063205413,0.0064243023488336215,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
34,0.5025633339465289,0.4766004769362664,0.4866004769362664,0.5150248496961358,0.5250248496961358,0.015962857010262455,-0.027588183642664688,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
35,0.4758325060679359,0.4929793014603827,0.5029793014603827,0.504772873015123,0.514772873015123,-0.0271467953924468,0.009394620916941099,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
36,0.44957198072475757,0.4770699524191576,0.4870699524191576,0.5158497507242696,0.5258497507242696,-0.037497971694400056,0.02457826855097278,False,995.3387390044677,995.3387390044677,0.0,-4.661260995532302
37,0.4435410902510918,0.4882093787054602,0.4982093787054602,0.49527434831843153,0.5052743483184315,-0.05466828845436844,0.05118456143047667,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
38,0.43636840271666427,0.46861831092253625,0.47861831092253626,0.5176853437567713,0.5276853437567713,-0.04224990820587199,0.03594625352656433,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
39,0.44998057093425725,0.4632682983282758,0.4732682983282758,0.5255860613882724,0.5355860613882724,-0.023287727394018576,0.014433367677470388,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
40,0.4695178202546045,0.4826976038121198,0.4926976038121198,0.49797555894197554,0.5079755589419755,-0.02317978355751532,0.02250662080342003,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
41,0.47068319841041467,0.4798558190165184,0.4898558190165184,0.5075480695168931,0.5175480695168931,-0.019172620606103752,0.011768732072692134,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
42,0.4438608700291484,0.4695550153707687,0.4795550153707687,0.5253534402637333,0.5353534402637333,-0.0356941453416203,0.02078568970711825,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
43,0.41836082165145694,0.45114712426595227,0.4611471242659523,0.5359447880759413,0.5459447880759413,-0.04278630261449534,0.035694390272601795,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
44,0.4254527976396046,0.46620492194812674,0.47620492194812675,0.5321647234103991,0.5421647234103991,-0.05075212430852216,0.03238247894999635,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
45,0.40110367255621115,0.4435586295445872,0.4535586295445872,0.5436684546689057,0.5536684546689057,-0.052454956988376045,0.04522787277488316,False,995.0174396122082,995.0174396122082,0.0,-4.98256038779175
46,0.40023687049212403,0.46552259317375144,0.47552259317375145,0.5315349776411441,0.5415349776411441,-0.07528572268162742,0.058228151866731914,False,993.5171919228603,993.5171919228603,0.0,-6.48280807713968
47,0.41952144428659166,0.4515687681486404,0.4615687681486404,0.5299123444324687,0.5399123444324687,-0.042047323862048736,0.040566211280939624,False,993.5171919228603,993.5171919228603,0.0,-6.48280807713968
48,0.4240930720941989,0.43857507892481784,0.44857507892481785,0.5571760910345727,0.5671760910345727,-0.024482006830618963,0.008730836871228442,False,993.5171919228603,993.5171919228603,0.0,-6.48280807713968
49,0.4247278264878852,0.46134694119687447,0.4713469411968745,0.5267503148817154,0.5367503148817154,-0.04661911470898927,0.038521858630399364,False,993.5171919228603,993.5171919228603,0.0,-6.48280807713968
50,0.39634787193477633,0.47124220556639884,0.48124220556639885,0.5278389822095689,0.5378389822095689,-0.08489433363162252,0.06581314585565468,False,992.2052563899969,992.2052563899969,0.0,-7.794743610003138
